latitude,longitude
40.731008,-73.99777
40.731024,-73.997757
40.731216,-73.998151
40.731207,-73.998221
40.731117,-73.998977
40.731057,-73.999035
40.731009,-73.999017
40.730952,-73.998972
40.730887,-73.998872
40.730842,-73.998761
40.730748,-73.998835
40.730703,-73.998738
40.730642,-73.998788
40.730323,-73.998143
40.730288,-73.998072
40.730255,-73.998005
40.729995,-73.997472
40.729941,-73.99736
40.72989,-73.997254
40.729595,-73.996637
40.729562,-73.996569
40.729531,-73.996506
40.72918,-73.995812
40.72881,-73.995061
40.728412,-73.994252
40.728152,-73.993724
40.727867,-73.993147
40.727114,-73.991603
40.727058,-73.991472
40.726362,-73.991722
40.725619,-73.991997
40.725214,-73.992142
40.724879,-73.992264
40.724614,-73.991608
40.724283,-73.99081
40.723352,-73.988629
40.723277,-73.988451
40.722982,-73.988548
40.722849,-73.988578
40.72276,-73.988606
40.72216,-73.988798
40.721599,-73.988998
40.721576,-73.988922
40.721454,-73.988519
40.721228,-73.987769
40.721186,-73.987791
40.720078,-73.988359
40.718973,-73.988925
40.718871,-73.988981
40.718848,-73.988912
40.718648,-73.988266
