latitude,longitude
40.731008,-73.99777
40.731024,-73.997757
40.731216,-73.998151
40.731207,-73.998221
40.731117,-73.998977
40.731057,-73.999035
40.731009,-73.999017
40.730952,-73.998972
40.730887,-73.998872
40.730842,-73.998761
40.730748,-73.998835
40.730703,-73.998738
40.730642,-73.998788
40.730323,-73.998143
40.730288,-73.998072
40.730255,-73.998005
40.729995,-73.997472
40.729941,-73.99736
40.72989,-73.997254
40.729595,-73.996637
40.729562,-73.996569
40.729531,-73.996506
40.72918,-73.995812
40.72881,-73.995061
40.728412,-73.994252
40.728152,-73.993724
40.727867,-73.993147
40.727114,-73.991603
40.726419,-73.991856
40.725676,-73.992141
40.72525,-73.992288
40.724914,-73.992392
40.724231,-73.992644
40.724097,-73.992692
40.722828,-73.993152
40.722801,-73.993031
40.722341,-73.993204
40.721612,-73.993464
40.720937,-73.993717
40.720341,-73.993952
40.720333,-73.99379
40.720286,-73.993632
