latitude,longitude
32.0603614811,118.8189301393
32.0610299672,118.8197054633
32.060959688,118.8200203101
32.0607207478,118.8203243687
32.0602859091,118.8207122296
32.0618167195,118.8215244284
32.0618168839,118.8215245156
32.0624092726,118.8218388181
32.0624793243,118.822000179
32.06208375,118.8219738601
32.0608222711,118.821787484
32.06157578,118.8221137982
32.0636662096,118.8240400886
32.0638331105,118.8241511942
32.0639175575,118.8243043296
32.0638684925,118.8244393615
32.0635264518,118.8250929938
32.0629955021,118.8261567364
32.0628451298,118.8265572337
32.0626367749,118.8269948789
32.0622434298,118.8274033581
32.0617731728,118.8272881492
32.0610488817,118.8269573679
32.0652106317,118.826312451
32.0653809544,118.8264897065
32.0654201579,118.8265819117
32.0652497714,118.82659791
32.0645696073,118.8270309909
32.063776245,118.8280911144
32.0634397112,118.8286496857
32.0631400647,118.8291474011
32.0627050637,118.8298703074
32.0622899099,118.8305595711
32.0615890149,118.8317309743
32.0620215045,118.8315911146
32.06671343,118.8285828575
32.0668010629,118.828741057
32.066838047,118.8288587932
32.0668267822,118.8288985885
32.0668065139,118.8289650477
32.0667552158,118.829077645
32.0665865016,118.8293841305
32.065976663,118.8303311742
32.0658118226,118.8307185364
32.0682318656,118.8310082637
32.068335357,118.8311825
32.0684379246,118.8314106752
32.068478194,118.8316009462
32.0697357627,118.8334205598
32.0698274957,118.8335090826
32.0697730723,118.8335562723
32.0696808647,118.833594688
32.0710292712,118.8354846339
32.0711464548,118.8356141182
32.0712448888,118.8357231621
32.071273293,118.8357308641
32.0712973598,118.8357377808
32.0713176677,118.835744935
32.0713540628,118.8357618169
32.0713593669,118.8357180221
32.0724103077,118.8375455003
