latitude,longitude
31.2308090426,121.5312665235
31.2309046723,121.5314444097
31.2310649239,121.531742394
31.2311524249,121.5319152887
31.2316042775,121.5325565963
31.2318275415,121.5329051043
31.2320192617,121.5335074372
31.2324188119,121.5337632953
31.2326927597,121.5338209138
31.2329457952,121.5336806294
31.2333143677,121.5335276624
31.2335807457,121.5334323759
31.2338181565,121.533616648
31.2338934526,121.5338496139
31.2340133563,121.5343815294
31.2341561098,121.5344972256
31.2344443547,121.534371695
31.2345208352,121.5343105997
31.234635181,121.5344037465
